year,mode,manufacturer,vin,miles,reported_events
2020,safety-driver,Waymo,2C4RC1K72HR824243,844.7,0
2020,safety-driver,Waymo,2C4RC1K72HR827238,7432.3,0
2020,safety-driver,Waymo,2C4RC1K72HR833816,779.6,0
2020,safety-driver,Waymo,2C4RC1K72HR836179,6300.8,0
2020,safety-driver,Waymo,2C4RC1K73HR534643,0.0,0
2020,safety-driver,Waymo,2C4RC1K73HR534660,8918.9,0
2020,safety-driver,Waymo,2C4RC1K73HR534674,3076.0,0
2020,safety-driver,Waymo,2C4RC1K73HR534691,5388.4,0
2020,safety-driver,Waymo,2C4RC1K73HR534710,971.6,0
2020,safety-driver,Waymo,2C4RC1K73HR695705,4026.9,0
2020,safety-driver,Waymo,2C4RC1K73HR786120,14.0,0
2020,safety-driver,Waymo,2C4RC1K73HR797294,0.0,0
2020,safety-driver,Waymo,2C4RC1K73HR797330,10014.5,0
2020,safety-driver,Waymo,2C4RC1K73HR797358,11796.6,0
2020,safety-driver,Waymo,2C4RC1K73HR797361,3974.3,0
2020,safety-driver,Waymo,2C4RC1K73HR797375,825.0,0
2020,safety-driver,Waymo,2C4RC1K73HR797389,10376.9,0
2020,safety-driver,Waymo,2C4RC1K73HR805488,108.3,0
2020,safety-driver,Waymo,2C4RC1K73HR805510,0.0,0
2020,safety-driver,Waymo,2C4RC1K73HR822193,547.2,0
2020,safety-driver,Waymo,2C4RC1K73HR827264,619.0,0
