year,mode,manufacturer,date,date_in_period,vin,driverless_capable,driver_present,initiated_by,location,cause_text,cause_category
2020,safety-driver,Aurora,2020-06-11T00:00:00,True,3LN6L5LU5HR650656,False,,Yes,Street,Planning Discrepancy: Failure to yield to other actors,Planning
2020,safety-driver,Aurora,2020-08-28T00:00:00,True,2C4RC1N75LR107176,False,,Yes,Freeway,Planning Discrepancy: AV reacted poorly for merging vehicle,Planning
2020,safety-driver,Aurora,2020-09-03T00:00:00,True,2C4RC1N75LR107176,False,,Yes,Street,Planning Discrepancy: Failure to yield to other actors,Planning
2020,safety-driver,Aurora,2020-09-16T00:00:00,True,2C4RC1N75LR107176,False,,Yes,Street,Planning Discrepancy: Incorrect behavior at traffic light,Planning
2020,safety-driver,Aurora,2020-09-16T00:00:00,True,2C4RC1N75LR107176,False,,Yes,Street,Planning Discrepancy: Incorrect behavior at traffic light,Planning
2020,safety-driver,Aurora,2020-09-18T00:00:00,True,2C4RC1N77LR107177,False,,Yes,Highway,Planning Discrepancy:  Poor lane change in contested target lane,Planning
2020,safety-driver,Aurora,2020-10-13T00:00:00,True,2C4RC1N7XLR107173,False,,Yes,Street,Planning Module Failure due to software issue,Planning
2020,safety-driver,Aurora,2020-10-15T00:00:00,True,2C4RC1N75LR107176,False,,Yes,Street,Planning Module Failure due to software issue,Planning
2020,safety-driver,AutoX,2020-01-16T00:00:00,True,3LN6L5LU1HR637709,False,True,Test Driver,Street,Disengagement for unwanted maneuver of the vehicle in merging situation with consequtive aggressive cut-ins in front of the vehicle in down town San Jose.,Planning
2020,safety-driver,AutoX,2020-03-04T00:00:00,True,3LN6L5MU9JR614778,False,True,Test Driver,Street,Disengagement for a perception discrepancy false possitive which impacted the vehicle to react and make unwanted maneuver,Perception
2020,safety-driver,BMW,2020-01-14T00:00:00,True,WBA7E21050G412347,True,True,Test Driver,Street,"Clear weather, good surface conditions. Trajectory message timeout: Took too long to plan trajectory. Driver assumed control in less than 1 second of system alert. 

Clarification:
The autonomous vehicle has a safety mechanism to alert the driver if the trajectory calculations are not completed within a margin of safety and this system notified the driver to be prepared to take over. The driver took over within 1 second and the autonomous feature was disengaged. The root cause was identified and rectified on the 1/14 to be retested successfully on the 15th Jan.",Planning
2020,safety-driver,BMW,2020-01-15T00:00:00,True,WBA7E21050G412347,True,True,Passenger,Street,"Clear weather, good surface conditions. Disengagement was the result of a planned test of the autonomous technology. Driver assumed control in less than 1 second.",Planning
2020,safety-driver,BMW,2020-01-22T00:00:00,True,WBA7E21050G412347,True,True,Passenger,Street,"Clear weather, good surface conditions. Disengagement was the result of a planned test of the autonomous technology. Driver assumed control in less than 1 second.",Planning
2020,safety-driver,Cruise,2019-12-08T00:00:00,True,5G21A6P00L4100118,False,True,Test Driver,Street,"precautionary takeover to address planning, AV attempted unsuccesful left turn",Planning
2020,safety-driver,Cruise,2019-12-14T00:00:00,True,5G21A6P08L4100058,False,True,Test Driver,Street,"precautionary takeover to address planning, third party lane encroachment",Planning
